*BOM Import Format
*Export Date: 2025-12-04T16:09:16.710213
*Source: MongoDB utkarshproduction.BOMAUTOMATION
*Confidence Threshold: 0.9
*
ITEM_NO	DESCRIPTION	QUANTITY	UNIT	CONFIDENCE	SOURCE
307	DXF	1	PC	1.00	vector
308	B	1	PC	1.00	vector
309	C	1	PC	1.00	vector
310	1:20	1	PC	1.00	vector
311	A	1	PC	1.00	vector
312	1:2	1	PC	1.00	vector
313	ALL	1	PC	1.00	vector
314	VISIBLE	1	PC	1.00	vector
315	SIGNS	1	PC	1.00	vector
316	OF	1	PC	1.00	vector
317	EDGE	1	PC	1.00	vector
318	DISCONTINUITIES	1	PC	1.00	vector
319	TO	1	PC	1.00	vector
320	BE	1	PC	1.00	vector
321	REMOVED.	1	PC	1.00	vector
322	THE	1	PC	1.00	vector
323	CUT	1	PC	1.00	vector
324	AREAS	1	PC	1.00	vector
325	ARE	1	PC	1.00	vector
326	TO	1	PC	1.00	vector
327	BE	1	PC	1.00	vector
328	MACHINED	1	PC	1.00	vector
329	OR	1	PC	1.00	vector
330	GROUND	1	PC	1.00	vector
331	AN	1	PC	1.00	vector
332	ALL	1	PC	1.00	vector
333	BURRS	1	PC	1.00	vector
334	TO	1	PC	1.00	vector
335	BE	1	PC	1.00	vector
336	REMOVED.	1	PC	1.00	vector
337	Form	1	PC	1.00	vector
338	acc.	1	PC	1.00	vector
339	to	1	PC	1.00	vector
340	DXF	1	PC	1.00	vector
341	B	1	PC	1.00	vector
342	1:2	1	PC	1.00	vector
343	C	1	PC	1.00	vector
344	1:2	1	PC	1.00	vector
345	D	1	PC	1.00	vector
346	1:10	1	PC	1.00	vector
347	All	1	PC	1.00	vector
348	kinds	1	PC	1.00	vector
349	of	1	PC	1.00	vector
350	cutting	1	PC	1.00	vector
351	dimensions	1	PC	1.00	vector
352	without	1	PC	1.00	vector
353	tolerances	1	PC	1.00	vector
354	acc.	1	PC	1.00	vector
355	to	1	PC	1.00	vector
356	ISO	1	PC	1.00	vector
357	9013:2002	1	PC	1.00	vector
358	-	1	PC	1.00	vector
359	332	1	PC	1.00	vector
360	Dimensions	1	PC	1.00	vector
361	without	1	PC	1.00	vector
362	tolerances	1	PC	1.00	vector
363	acc.	1	PC	1.00	vector
364	to	1	PC	1.00	vector
365	ISO	1	PC	1.00	vector
366	2768:1989	1	PC	1.00	vector
367	-c	1	PC	1.00	vector
368	L	1	PC	1.00	vector
369	-1	1	PC	1.00	vector
370	-3	1	PC	1.00	vector
371	Unspecified	1	PC	1.00	vector
372	edges	1	PC	1.00	vector
373	acc.	1	PC	1.00	vector
374	to	1	PC	1.00	vector
375	ISO	1	PC	1.00	vector
376	13715:2000	1	PC	1.00	vector
377	Unspecified	1	PC	1.00	vector
378	hole	1	PC	1.00	vector
379	edges	1	PC	1.00	vector
380	acc.	1	PC	1.00	vector
381	to	1	PC	1.00	vector
382	ISO	1	PC	1.00	vector
383	13715:2000	1	PC	1.00	vector
384	-1	1	PC	1.00	vector
385	-3	1	PC	1.00	vector
386	Tolerances	1	PC	1.00	vector
387	acc.	1	PC	1.00	vector
388	to	1	PC	1.00	vector
389	basic	1	PC	1.00	vector
390	material	1	PC	1.00	vector
391	standard	1	PC	1.00	vector
392	are	1	PC	1.00	vector
393	accepted	1	PC	1.00	vector
394	To	1	PC	1.00	vector
395	be	1	PC	1.00	vector
396	produced	1	PC	1.00	vector
397	acc.	1	PC	1.00	vector
398	to	1	PC	1.00	vector
399	current	1	PC	1.00	vector
400	revision	1	PC	1.00	vector
401	of	1	PC	1.00	vector
402	Technical	1	PC	1.00	vector
403	Purchase	1	PC	1.00	vector
404	Specification	1	PC	1.00	vector
405	901529	1	PC	1.00	vector
406	VESTAS	1	PC	1.00	vector
407	PROPRIETARY	1	PC	1.00	vector
408	NOTICE:	1	PC	1.00	vector
409	This	1	PC	1.00	vector
410	document	1	PC	1.00	vector
411	contains	1	PC	1.00	vector
412	valuable	1	PC	1.00	vector
413	confidential	1	PC	1.00	vector
414	information	1	PC	1.00	vector
415	of	1	PC	1.00	vector
416	Vestas	1	PC	1.00	vector
417	Wind	1	PC	1.00	vector
418	Systems	1	PC	1.00	vector
419	A/S.	1	PC	1.00	vector
420	It	1	PC	1.00	vector
421	is	1	PC	1.00	vector
422	protected	1	PC	1.00	vector
423	by	1	PC	1.00	vector
424	copyright	1	PC	1.00	vector
425	law	1	PC	1.00	vector
426	as	1	PC	1.00	vector
427	an	1	PC	1.00	vector
428	unpublished	1	PC	1.00	vector
429	work.	1	PC	1.00	vector
430	Vestas	1	PC	1.00	vector
431	reserves	1	PC	1.00	vector
432	all	1	PC	1.00	vector
433	patent,	1	PC	1.00	vector
434	copyright,	1	PC	1.00	vector
435	trade	1	PC	1.00	vector
436	secret,	1	PC	1.00	vector
437	and	1	PC	1.00	vector
438	other	1	PC	1.00	vector
439	proprietary	1	PC	1.00	vector
